2025-04-29 11:14:38 | DEBUG | utils.substitute_origin_values:126 | [subst] 3 alterações em 'Ad group name'. Ex.: ['TOPVIEW-BR-20250321-Q-20250301460526-2025031076487', 'TOPVIEW-BR-20250321-Q-20250301460526-2025031076487', 'TOPVIEW-BR-20250321-Q-20250301460526-2025031076487'] → ['2025_3_EMPREENDEDORISMO FEMININO_ALC_COMERCIALIZAÇÃO_CPM', '2025_3_EMPREENDEDORISMO FEMININO_ALC_COMERCIALIZAÇÃO_CPM', '2025_3_EMPREENDEDORISMO FEMININO_ALC_COMERCIALIZAÇÃO_CPM']
2025-04-29 11:14:38 | INFO  | utils.substitute_origin_values:153 | [subst] 3 células preparadas para gravação em 'Ad group name'
2025-04-29 11:14:38 | DEBUG | utils.substitute_origin_values:126 | [subst] 3 alterações em 'Ad name'. Ex.: ['Ad name2025-03-20 18:28:41', 'Ad name2025-03-20 18:28:41', 'Ad name2025-03-20 18:28:41'] → ['2025_3_BR_VÍDEO_RESPOSTA_BRANDED_MISSION_1_ACAO_DBT_SBRAE_2025_EMP_FEM0062', '2025_3_BR_VÍDEO_RESPOSTA_BRANDED_MISSION_1_ACAO_DBT_SBRAE_2025_EMP_FEM0062', '2025_3_BR_VÍDEO_RESPOSTA_BRANDED_MISSION_1_ACAO_DBT_SBRAE_2025_EMP_FEM0062']
2025-04-29 11:14:38 | INFO  | utils.substitute_origin_values:153 | [subst] 3 células preparadas para gravação em 'Ad name'
2025-04-29 11:14:38 | DEBUG | urllib3.connectionpool:544 | https://sheets.googleapis.com:443 "POST /v4/spreadsheets/1DazUQxspLgT0utOFHcTINbFngXw7Fq0LOq6v4lRGixg/values:batchUpdate HTTP/1.1" 200 None
2025-04-29 11:14:38 | INFO  | utils.substitute_origin_values:159 | [subst] gravação concluída – total de 9 células
2025-04-29 11:14:38 | DEBUG | urllib3.util.retry:286 | Converted retries value: 3 -> Retry(total=3, connect=None, read=None, redirect=None, status=None)
2025-04-29 11:14:38 | DEBUG | google.auth.transport.requests:185 | Making request: POST https://oauth2.googleapis.com/token
2025-04-29 11:14:38 | DEBUG | urllib3.connectionpool:1049 | Starting new HTTPS connection (1): oauth2.googleapis.com:443
2025-04-29 11:14:38 | DEBUG | urllib3.connectionpool:544 | https://oauth2.googleapis.com:443 "POST /token HTTP/1.1" 200 None
2025-04-29 11:14:38 | DEBUG | urllib3.connectionpool:1049 | Starting new HTTPS connection (1): sheets.googleapis.com:443
2025-04-29 11:14:39 | DEBUG | urllib3.connectionpool:544 | https://sheets.googleapis.com:443 "GET /v4/spreadsheets/1DazUQxspLgT0utOFHcTINbFngXw7Fq0LOq6v4lRGixg?includeGridData=false HTTP/1.1" 200 None
2025-04-29 11:14:39 | DEBUG | urllib3.connectionpool:544 | https://sheets.googleapis.com:443 "GET /v4/spreadsheets/1DazUQxspLgT0utOFHcTINbFngXw7Fq0LOq6v4lRGixg?includeGridData=false HTTP/1.1" 200 None
2025-04-29 11:14:39 | DEBUG | urllib3.connectionpool:544 | https://sheets.googleapis.com:443 "GET /v4/spreadsheets/1DazUQxspLgT0utOFHcTINbFngXw7Fq0LOq6v4lRGixg/values/%27tiktokGeral%27%21A1%3A1 HTTP/1.1" 200 None
2025-04-29 11:14:39 | WARNING | utils.normalize:210 | [normalize_date_columns] 4740 valores inválidos em 'Date' (ex.: [''])
2025-04-29 11:15:53 | DEBUG | urllib3.util.retry:286 | Converted retries value: 3 -> Retry(total=3, connect=None, read=None, redirect=None, status=None)
2025-04-29 11:15:53 | INFO  | root:42 | === Iniciando ETL Geral para plataforma: tiktok ===
