date,account_name,campanha,id_campanha,veiculo,id_veiculo,ad_group_name,ad_name,start,end,objective,url_do_anuncio,utm_content,cost,impressions,link_clicks,video_play,video_watched_25,video_watched_50,video_watched_75,video_watched_100,post_reactions,post_shares,post_comments,engajamento_total,id,verba,custo_por_resultado_projetado,volume_esperado
2025-06-08,Sebrae Nacional - DEBRITO,psmn,sbrae_2025_psmn,instagram,2,"2025_6_BR_TRAF_CPC_MULHERES DE 25 A 45 ANOS; INTERESSES EM EMPREENDEDORISMO, PEQUENOS NEGÓCIOS E MEI; COMPORTAMENTO VOLTADO A ENGAJAMENTO COM PERFIS DE NEGÓCIOS E INFLUENCIADORES DE GESTÃO",2025_6_BR_STORIES_GABRIELA BAILAS STORIES_ACAO_SBRAE_2025_PSMN0292,2025-06-06,2025-06-15,Tráfego,https://www.facebook.com/518800083146142/posts/1289133272779482,sbrae_2025_psmn0292,"1497,12",185034,6806,4282,25464,10882,6199,4164,406,3,3,412,"2025-06-08-PSMN-185034-1497,12-6806",50440,2.5,20176
2025-06-08,Sebrae Nacional - DEBRITO,psmn,sbrae_2025_psmn,instagram,2,"2025_6_BR_TRAF_CPC_MULHERES DE 25 A 45 ANOS; INTERESSES EM EMPREENDEDORISMO, PEQUENOS NEGÓCIOS E MEI; COMPORTAMENTO VOLTADO A ENGAJAMENTO COM PERFIS DE NEGÓCIOS E INFLUENCIADORES DE GESTÃO",2025_6_BR_STORIES_VIC CERIDONO STORIES_ACAO_SBRAE_2025_PSMN0291,2025-06-06,2025-06-15,Tráfego,https://www.facebook.com/518800083146142/posts/1289130216113121,sbrae_2025_psmn0291,"1727,48",296348,6645,13303,69844,29405,18258,13292,1413,23,7,1443,"2025-06-08-PSMN-296348-1727,48-6645",50440,2.5,20176
2025-06-09,Sebrae Nacional - DEBRITO,psmn,sbrae_2025_psmn,instagram,2,"2025_6_BR_TRAF_CPC_MULHERES DE 25 A 45 ANOS; INTERESSES EM EMPREENDEDORISMO, PEQUENOS NEGÓCIOS E MEI; COMPORTAMENTO VOLTADO A ENGAJAMENTO COM PERFIS DE NEGÓCIOS E INFLUENCIADORES DE GESTÃO",2025_6_BR_CARD_KV_ACAO_SBRAE_2025_PSMN0293,2025-06-06,2025-06-15,Tráfego,https://www.instagram.com/p/DKrvzH_gBFK/,sbrae_2025_psmn0293,"464,05",116702,1108,0,0,0,0,0,144,16,9,169,"2025-06-09-PSMN-116702-464,05-1108",50440,2.5,20176
2025-06-09,Sebrae Nacional - DEBRITO,psmn,sbrae_2025_psmn,instagram,2,"2025_6_BR_TRAF_CPC_MULHERES DE 25 A 45 ANOS; INTERESSES EM EMPREENDEDORISMO, PEQUENOS NEGÓCIOS E MEI; COMPORTAMENTO VOLTADO A ENGAJAMENTO COM PERFIS DE NEGÓCIOS E INFLUENCIADORES DE GESTÃO",2025_6_BR_REELS_GABRIELA BAILAS REELS_ACAO_SBRAE_2025_PSMN0289,2025-06-06,2025-06-15,Tráfego,https://www.instagram.com/p/DKkdzLsAOWD/,sbrae_2025_psmn0289,"393,06",83814,987,2303,2021,421,223,5,7,5,0,12,"2025-06-09-PSMN-83814-393,06-987",50440,2.5,20176
2025-06-09,Sebrae Nacional - DEBRITO,psmn,sbrae_2025_psmn,instagram,2,"2025_6_BR_TRAF_CPC_MULHERES DE 25 A 45 ANOS; INTERESSES EM EMPREENDEDORISMO, PEQUENOS NEGÓCIOS E MEI; COMPORTAMENTO VOLTADO A ENGAJAMENTO COM PERFIS DE NEGÓCIOS E INFLUENCIADORES DE GESTÃO",2025_6_BR_REELS_VIC CERIDONO REELS_ACAO_SBRAE_2025_PSMN0290,2025-06-06,2025-06-15,Tráfego,https://www.instagram.com/p/DKkicL_goW1/,sbrae_2025_psmn0290,"2742,86",304933,8962,22793,6489,2484,1439,1200,538,22,5,565,"2025-06-09-PSMN-304933-2742,86-8962",50440,2.5,20176
2025-06-09,Sebrae Nacional - DEBRITO,psmn,sbrae_2025_psmn,instagram,2,"2025_6_BR_TRAF_CPC_MULHERES DE 25 A 45 ANOS; INTERESSES EM EMPREENDEDORISMO, PEQUENOS NEGÓCIOS E MEI; COMPORTAMENTO VOLTADO A ENGAJAMENTO COM PERFIS DE NEGÓCIOS E INFLUENCIADORES DE GESTÃO",2025_6_BR_STORIES_GABRIELA BAILAS STORIES_ACAO_SBRAE_2025_PSMN0292,2025-06-06,2025-06-15,Tráfego,https://www.facebook.com/518800083146142/posts/1289133272779482,sbrae_2025_psmn0292,"1242,17",173517,5341,3425,22128,8909,4964,3341,349,3,4,356,"2025-06-09-PSMN-173517-1242,17-5341",50440,2.5,20176
2025-06-09,Sebrae Nacional - DEBRITO,psmn,sbrae_2025_psmn,instagram,2,"2025_6_BR_TRAF_CPC_MULHERES DE 25 A 45 ANOS; INTERESSES EM EMPREENDEDORISMO, PEQUENOS NEGÓCIOS E MEI; COMPORTAMENTO VOLTADO A ENGAJAMENTO COM PERFIS DE NEGÓCIOS E INFLUENCIADORES DE GESTÃO",2025_6_BR_STORIES_VIC CERIDONO STORIES_ACAO_SBRAE_2025_PSMN0291,2025-06-06,2025-06-15,Tráfego,https://www.facebook.com/518800083146142/posts/1289130216113121,sbrae_2025_psmn0291,"1523,69",248753,5570,9791,55696,22533,13659,9681,802,9,5,816,"2025-06-09-PSMN-248753-1523,69-5570",50440,2.5,20176
2025-06-10,Sebrae Nacional - DEBRITO,psmn,sbrae_2025_psmn,instagram,2,"2025_6_BR_TRAF_CPC_MULHERES DE 25 A 45 ANOS; INTERESSES EM EMPREENDEDORISMO, PEQUENOS NEGÓCIOS E MEI; COMPORTAMENTO VOLTADO A ENGAJAMENTO COM PERFIS DE NEGÓCIOS E INFLUENCIADORES DE GESTÃO",2025_6_BR_CARD_KV_ACAO_SBRAE_2025_PSMN0293,2025-06-06,2025-06-15,Tráfego,https://www.instagram.com/p/DKrvzH_gBFK/,sbrae_2025_psmn0293,"14,68",4437,49,0,0,0,0,0,6,1,1,8,"2025-06-10-PSMN-4437-14,68-49",50440,2.5,20176
2025-06-10,Sebrae Nacional - DEBRITO,psmn,sbrae_2025_psmn,instagram,2,"2025_6_BR_TRAF_CPC_MULHERES DE 25 A 45 ANOS; INTERESSES EM EMPREENDEDORISMO, PEQUENOS NEGÓCIOS E MEI; COMPORTAMENTO VOLTADO A ENGAJAMENTO COM PERFIS DE NEGÓCIOS E INFLUENCIADORES DE GESTÃO",2025_6_BR_REELS_GABRIELA BAILAS REELS_ACAO_SBRAE_2025_PSMN0289,2025-06-06,2025-06-15,Tráfego,https://www.instagram.com/p/DKkdzLsAOWD/,sbrae_2025_psmn0289,"0,99",190,9,19,13,2,2,0,0,0,0,0,"2025-06-10-PSMN-190-0,99-9",50440,2.5,20176
2025-06-10,Sebrae Nacional - DEBRITO,psmn,sbrae_2025_psmn,instagram,2,"2025_6_BR_TRAF_CPC_MULHERES DE 25 A 45 ANOS; INTERESSES EM EMPREENDEDORISMO, PEQUENOS NEGÓCIOS E MEI; COMPORTAMENTO VOLTADO A ENGAJAMENTO COM PERFIS DE NEGÓCIOS E INFLUENCIADORES DE GESTÃO",2025_6_BR_REELS_VIC CERIDONO REELS_ACAO_SBRAE_2025_PSMN0290,2025-06-06,2025-06-15,Tráfego,https://www.instagram.com/p/DKkicL_goW1/,sbrae_2025_psmn0290,"1116,39",96749,5140,14813,2324,985,756,675,182,12,2,196,"2025-06-10-PSMN-96749-1116,39-5140",50440,2.5,20176
